,CellLine,Drug,ec50UM,ic50UM,aMax,actArea
23286,TOV112D_OVARY,Topotecan,0.19976479,0.19052872,-100.811569,3.9431
4,TOV112D_OVARY,AZD6244,-1,8,0.538654,0.0971
7305,TOV112D_OVARY,L-685458,-1,8,-4.977112,0.2808
8,TOV112D_OVARY,LBW242,-1,8,-1.296333,0.1064
11421,TOV112D_OVARY,Nutlin-3,-1,8,-11.110262,0.6416
15351,TOV112D_OVARY,PHA-665752,-1,8,-4.893734,0.3554
16341,TOV112D_OVARY,PLX4720,-1,8,2.486179,0.059
22181,TOV112D_OVARY,TKI258,4.18864536,3.73873973,-75.735565,1.1542
2,TOV112D_OVARY,AEW541,8.73922195,8,-32.000252,0.4272
11417,TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,1.67977679,2.03907323,-66.475517,1.2479
16343,TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Paclitaxel,0.1401514,0.24393393,-65.804131,2.3948
17415,TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Panobinostat,0.0322053,0.04572786,-96.669006,4.2588
22179,TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Topotecan,0.06221874,0.065744,-88.025841,4.0031
12243,TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PD-0332991 ,8.69946514,8,-46.797489,0.3478
6411,TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L-685458,-1,8,12.811393,0
9215,TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Nilotinib,-1,8,-1.177874,0
10208,TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Nutlin-3,-1,8,-7.833027,0
15352,TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PLX4720,-1,8,-5.35489,0
20228,TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TAE684,-1,8,18.389071,0
11416,CCK81_LARGE_INTESTINE,17-AAG,0.3162823,0.26327509,-82.641907,3.4189
8277,CCK81_LARGE_INTESTINE,Lapatinib,-1,0.24019484,-74.573303,2.3087
14232,CCK81_LARGE_INTESTINE,Paclitaxel,0.13543682,0.27403277,-99.78611,3.4061
15349,CCK81_LARGE_INTESTINE,Panobinostat,0.03872041,0.03814609,-96.820541,4.7212
20226,CCK81_LARGE_INTESTINE,Topotecan,0.24698904,0.31598589,-76.742569,2.4283
21214,CCK81_LARGE_INTESTINE,ZD-6474,0.4308196,0.76331002,-79.469604,2.3861
6409,CCK81_LARGE_INTESTINE,L-685458,-1,8,10.12614,0
9214,CCK81_LARGE_INTESTINE,Nutlin-3,-1,8,2.337308,0.5473
11418,CCK81_LARGE_INTESTINE,PF2341066,-1,8,10.272919,0.3273
13245,CCK81_LARGE_INTESTINE,PLX4720,-1,8,-0.216815,0.2626
17414,CCK81_LARGE_INTESTINE,Sorafenib,-1,8,-13.65084,0.1157
11414,TEN_ENDOMETRIUM,17-AAG,0.46544448,0.80981606,-72.502815,3.0622
6406,TEN_ENDOMETRIUM,Irinotecan,2.22918773,2.14705181,-92.68708,2.7288
17408,TEN_ENDOMETRIUM,Paclitaxel,0.02266363,0.03627276,-52.209965,4.0307
18374,TEN_ENDOMETRIUM,Panobinostat,0.1210115,0.12774982,-97.225876,3.5077
21211,TEN_ENDOMETRIUM,TAE684,8.73932651,4.03542662,-61.252098,1.8601
23284,TEN_ENDOMETRIUM,Topotecan,8.61010051,3.60817242,-81.488609,2.0667
5,TEN_ENDOMETRIUM,Erlotinib,-1,8,3.839149,0.083
7306,TEN_ENDOMETRIUM,L-685458,-1,8,13.201883,0.5282
12242,TEN_ENDOMETRIUM,PD-0325901,-1,8,0.162587,0.3764
15350,TEN_ENDOMETRIUM,PHA-665752,-1,8,2.037521,0.5715
20227,TEN_ENDOMETRIUM,Sorafenib,-1,8,28.791458,0
22180,TEN_ENDOMETRIUM,TKI258,-1,8,5.616791,0.4795
11413,TE9_OESOPHAGUS,17-AAG,0.08442736,0.0874675,-85.803894,4.2666
6408,TE9_OESOPHAGUS,Irinotecan,0.20539172,0.20357987,-90.084442,3.8206
17412,TE9_OESOPHAGUS,Paclitaxel,5.52401579,0.0033895,-93.959778,6.6468
18373,TE9_OESOPHAGUS,Panobinostat,0.07212783,0.09746029,-93.672142,4.0263
21213,TE9_OESOPHAGUS,TAE684,2.28284288,2.44592929,-80.504334,1.8908
23283,TE9_OESOPHAGUS,Topotecan,0.19814904,0.19302695,-92.591003,4.0447
8275,TE9_OESOPHAGUS,LBW242,-1,8,-4.634383,0.4993
11415,TE9_OESOPHAGUS,Nutlin-3,-1,8,3.95966,0.4344
13244,TE9_OESOPHAGUS,PD-0332991 ,-1,8,9.456144,0.0816
14233,TE9_OESOPHAGUS,PF2341066,2.74007678,8,-23.866335,0.3303
15348,TE9_OESOPHAGUS,PHA-665752,-1,8,3.174531,0.1003
16342,TE9_OESOPHAGUS,PLX4720,-1,8,-0.26045,0.4148
11411,TE617T_SOFT_TISSUE,17-AAG,0.04016676,0.03461671,-95.85878,5.1812
6407,TE617T_SOFT_TISSUE,Irinotecan,0.07845023,0.07653105,-90.873474,4.4324
9213,TE617T_SOFT_TISSUE,Lapatinib,0.2259322,0.242928,-91.343475,3.4461
17410,TE617T_SOFT_TISSUE,Paclitaxel,0.00346933,0.003054,-95.175789,6.7285
18371,TE617T_SOFT_TISSUE,Panobinostat,0.02020832,0.02433141,-95.780869,5.0969
23282,TE617T_SOFT_TISSUE,Topotecan,0.08294661,0.08647351,-96.441299,4.4021
2512,TE617T_SOFT_TISSUE,AEW541,-1,7.16552094,-50.896801,1.4793
7303,TE617T_SOFT_TISSUE,L-685458,-1,8,1.626654,0.2427
8273,TE617T_SOFT_TISSUE,LBW242,-1,8,-13.989214,1.0236
16339,TE617T_SOFT_TISSUE,PLX4720,-1,8,-2.194421,0.0341
10206,TE617T_SOFT_TISSUE,Nilotinib,2.18734884,2.35833573,-97.315857,1.5507
21212,TE617T_SOFT_TISSUE,TAE684,1.34600353,1.41537094,-96.833,2.1155
15347,TE617T_SOFT_TISSUE,PHA-665752,3.4515729,8,-39.462856,0.9109
20225,TE617T_SOFT_TISSUE,Sorafenib,5.47492743,5.75964499,-79.044395,0.9072
22178,TE617T_SOFT_TISSUE,TKI258,8.01738243,4.99233437,-88.261162,1.1019
11410,TE5_OESOPHAGUS,17-AAG,0.33035806,0.35054246,-88.810478,3.0955
14228,TE5_OESOPHAGUS,Paclitaxel,0.00976834,0.01217702,-84.979317,5.4258
15343,TE5_OESOPHAGUS,Panobinostat,0.13535059,0.17070998,-92.730843,3.463
19227,TE5_OESOPHAGUS,Topotecan,0.15692858,0.17255028,-90.548698,3.692
20224,TE5_OESOPHAGUS,ZD-6474,2.41841006,8,-31.667274,0.6572
5253,TE5_OESOPHAGUS,Erlotinib,1.53448665,8,-14.772494,0.23
6405,TE5_OESOPHAGUS,L-685458,-1,8,6.59067,0
11412,TE5_OESOPHAGUS,PF2341066,-1,8,0.261473,0.2186
13243,TE5_OESOPHAGUS,PLX4720,-1,8,-0.94252,0.0621
16340,TE5_OESOPHAGUS,Sorafenib,-1,8,-14.964222,0.2589
11408,TE1_OESOPHAGUS,17-AAG,0.06873211,0.07451365,-79.521072,3.9523
14231,TE1_OESOPHAGUS,Paclitaxel,0.01153036,0.0178099,-61.528957,4.1517
15346,TE1_OESOPHAGUS,Panobinostat,0.02735901,0.02908108,-97.570366,5.0321
17411,TE1_OESOPHAGUS,TAE684,8.13875421,4.54653597,-83.976242,1.3627
19225,TE1_OESOPHAGUS,Topotecan,1.09764159,1.01571441,-89.839088,2.8467
6404,TE1_OESOPHAGUS,L-685458,-1,8,2.904141,0.0849
9212,TE1_OESOPHAGUS,Nutlin-3,-1,8,-5.28384,0.4281
11409,TE1_OESOPHAGUS,PF2341066,5.04860306,8,-23.578896,0.4085
13242,TE1_OESOPHAGUS,PLX4720,-1,8,-15.258832,0.3786
16338,TE1_OESOPHAGUS,Sorafenib,-1,8,1.065245,0.2454
11406,TE15_OESOPHAGUS,17-AAG,0.04338365,0.10320146,-88.72467,4.0282
7304,TE15_OESOPHAGUS,LBW242,-1,0.19775028,-63.43446,1.8206
10205,TE15_OESOPHAGUS,PD-0325901,7.27764864,0.12907542,-77.674942,2.8683
14230,TE15_OESOPHAGUS,Paclitaxel,0.01001052,0.00552548,-103.784554,6.4203
15345,TE15_OESOPHAGUS,Panobinostat,0.03299244,0.04008104,-104.867188,4.4379
18372,TE15_OESOPHAGUS,TKI258,8.02294947,1.58294487,-86.741325,1.5784
19224,TE15_OESOPHAGUS,Topotecan,0.34073672,0.33796808,-101.315857,3.6344
2511,TE15_OESOPHAGUS,AEW541,8.49853273,2.59104824,-71.375999,1.4669
9211,TE15_OESOPHAGUS,Nutlin-3,-1,8,-1.789337,0.8088
11407,TE15_OESOPHAGUS,PF2341066,-1,8,11.306477,0.429
16337,TE15_OESOPHAGUS,Sorafenib,-1,8,5.916365,0.4139
17409,TE15_OESOPHAGUS,TAE684,-1,7.96288667,-50.023571,0.8225
8274,TE11_OESOPHAGUS,Nutlin-3,-1,0.00601895,-63.379356,1.2078
11404,TE11_OESOPHAGUS,PHA-665752,-1,0.03103704,-73.449341,0.7925
12240,TE11_OESOPHAGUS,Paclitaxel,-1,0.00254261,-94.591705,7.3115
17407,TE11_OESOPHAGUS,Topotecan,0.07718099,0.07252492,-89.011139,4.7553
2510,TE11_OESOPHAGUS,AEW541,8.14894805,2.82164621,-95.556526,1.7103
5252,TE11_OESOPHAGUS,Erlotinib,0.87017173,0.98723966,-91.840721,2.0088
13241,TE11_OESOPHAGUS,Panobinostat,0.15050966,0.16377933,-99.076035,3.5976
4179,TE11_OESOPHAGUS,AZD6244,-1,8,-12.287235,0.3205
6403,TE11_OESOPHAGUS,LBW242,-1,8,-14.699702,0.7138
14229,TE11_OESOPHAGUS,Sorafenib,-1,8,-31.727182,0.5301
11405,TCCSUP_URINARY_TRACT,17-AAG,0.0412278,0.04668178,-88.560837,4.4105
6399,TCCSUP_URINARY_TRACT,Irinotecan,0.59539145,0.66357476,-95.061493,2.4115
17398,TCCSUP_URINARY_TRACT,Paclitaxel,-1,0.00254261,-77.903061,5.7387
18354,TCCSUP_URINARY_TRACT,Panobinostat,0.05304247,0.06164942,-96.755768,4.3885
21207,TCCSUP_URINARY_TRACT,TAE684,4.38317871,4.23478556,-83.734779,0.9076
23281,TCCSUP_URINARY_TRACT,Topotecan,0.68304074,0.73856801,-89.064034,2.2101
4177,TCCSUP_URINARY_TRACT,AZD6244,-1,8,6.031919,0
5251,TCCSUP_URINARY_TRACT,Erlotinib,-1,8,1.657687,0.0645
7302,TCCSUP_URINARY_TRACT,L-685458,-1,8,1.846239,0
9210,TCCSUP_URINARY_TRACT,Lapatinib,-1,8,-1.041814,0
11403,TCCSUP_URINARY_TRACT,Nutlin-3,-1,8,2.56944,0
20223,TCCSUP_URINARY_TRACT,Sorafenib,-1,8,-1.571703,0.0162
11401,TC71_BONE,17-AAG,1.17311037,1.36667681,-79.395081,1.9739
6402,TC71_BONE,Irinotecan,0.18103825,0.18791845,-94.453217,3.5768
17406,TC71_BONE,Paclitaxel,0.00473395,0.00424515,-98.103462,6.8648
18369,TC71_BONE,Panobinostat,0.04702234,0.04832795,-95.133209,4.6377
22176,TC71_BONE,TKI258,6.07828951,5.88331986,-86.363312,0.8521
23280,TC71_BONE,Topotecan,0.17421493,0.17630956,-97.526207,3.7927
11400,CAS1_CENTRAL_NERVOUS_SYSTEM,17-AAG,0.67114848,1.01952875,-71.536018,2.1995
6401,CAS1_CENTRAL_NERVOUS_SYSTEM,Irinotecan,0.66799325,0.77856326,-81.537628,2.2248
17405,CAS1_CENTRAL_NERVOUS_SYSTEM,Paclitaxel,0.02081868,0.02527587,-65.881233,4.0347
18368,CAS1_CENTRAL_NERVOUS_SYSTEM,Panobinostat,0.05875718,0.09561697,-92.391388,3.6763
21210,CAS1_CENTRAL_NERVOUS_SYSTEM,TAE684,8.03157465,4.4114809,-87.731422,1.0183
23279,CAS1_CENTRAL_NERVOUS_SYSTEM,Topotecan,1.83865035,1.7450856,-71.279495,1.728
7301,CAS1_CENTRAL_NERVOUS_SYSTEM,L-685458,-1,8,-0.085781,0.0143
9209,CAS1_CENTRAL_NERVOUS_SYSTEM,Lapatinib,-1,8,0.082456,0.0298
11402,CAS1_CENTRAL_NERVOUS_SYSTEM,Nutlin-3,-1,8,-1.049342,0.0178
15344,CAS1_CENTRAL_NERVOUS_SYSTEM,PHA-665752,-1,8,0.251661,0
16336,CAS1_CENTRAL_NERVOUS_SYSTEM,PLX4720,-1,8,2.550043,0.067
20222,CAS1_CENTRAL_NERVOUS_SYSTEM,Sorafenib,-1,8,2.084857,0.0626
11398,T98G_CENTRAL_NERVOUS_SYSTEM,17-AAG,0.14604296,0.15553784,-83.19561,2.537
6400,T98G_CENTRAL_NERVOUS_SYSTEM,Irinotecan,0.77007741,0.94937295,-68.703598,0.8403
17404,T98G_CENTRAL_NERVOUS_SYSTEM,Paclitaxel,6.01736917,0.00519857,-85.75518,4.9955
18367,T98G_CENTRAL_NERVOUS_SYSTEM,Panobinostat,0.15144123,0.17688739,-96.643425,2.8925
19222,T98G_CENTRAL_NERVOUS_SYSTEM,RAF265,0.95689529,2.50090742,-61.722378,1.4113
21209,T98G_CENTRAL_NERVOUS_SYSTEM,TAE684,2.43805456,2.5361526,-77.01149,1.2075
22177,T98G_CENTRAL_NERVOUS_SYSTEM,TKI258,8.08590914,2.94321919,-85.836105,1.8327
23278,T98G_CENTRAL_NERVOUS_SYSTEM,Topotecan,8.09789313,3.34597993,-75.996422,1.2564
7300,T98G_CENTRAL_NERVOUS_SYSTEM,L-685458,-1,8,1.256669,0.0259
8272,T98G_CENTRAL_NERVOUS_SYSTEM,LBW242,-1,8,0.788693,0.2173
9208,T98G_CENTRAL_NERVOUS_SYSTEM,Lapatinib,-1,8,-0.274132,0.3194
13240,T98G_CENTRAL_NERVOUS_SYSTEM,PD-0332991 ,-1,8,-2.759011,0.4777
14227,T98G_CENTRAL_NERVOUS_SYSTEM,PF2341066,7.7566247,8,-45.568199,0.238
15342,T98G_CENTRAL_NERVOUS_SYSTEM,PHA-665752,-1,8,-0.297218,0.0595
11397,T84_LARGE_INTESTINE,17-AAG,-1,0.53340598,-81.543121,2.5327
6398,T84_LARGE_INTESTINE,Irinotecan,-1,6.51297035,-52.266235,2.2281
14225,T84_LARGE_INTESTINE,PF2341066,-1,2.51495444,-57.496128,0.8613
17403,T84_LARGE_INTESTINE,Paclitaxel,0.06753663,0.05736313,-73.171204,4.1065
18366,T84_LARGE_INTESTINE,Panobinostat,0.08819315,0.13484372,-100.13768,3.9686
23275,T84_LARGE_INTESTINE,Topotecan,-1,1.44486586,-83.468803,1.1731
21208,T84_LARGE_INTESTINE,TAE684,-1,8,-80.038795,2.3855
7299,T84_LARGE_INTESTINE,L-685458,-1,8,5.100617,0.5854
8271,T84_LARGE_INTESTINE,LBW242,-1,8,23.552769,0.3676
9207,T84_LARGE_INTESTINE,Lapatinib,-1,8,14.077346,0.2998
15341,T84_LARGE_INTESTINE,PHA-665752,-1,8,14.60095,0.4742
16335,T84_LARGE_INTESTINE,PLX4720,-1,8,-5.916013,0.5119
22175,T84_LARGE_INTESTINE,TKI258,-1,8,17.414314,0.0077
11396,T47D_BREAST,17-AAG,1.03752828,1.78952611,-66.332825,1.4674
17402,T47D_BREAST,Panobinostat,0.06068231,0.06439659,-94.661682,4.3607
18365,T47D_BREAST,RAF265,8.24534618,6.93630266,-51.970963,1.4747
22173,T47D_BREAST,Topotecan,0.13807242,2.11217856,-60.058899,1.9885
9206,T47D_BREAST,Nilotinib,8.2301488,8,-49.678818,0.5094
5250,T47D_BREAST,Erlotinib,-1,8,-6.683815,0.1791
11399,T47D_BREAST,PD-0325901,-1,8,4.996742,0.0048
14226,T47D_BREAST,PHA-665752,0.00268244,8,-2.122644,0.3123
15340,T47D_BREAST,PLX4720,-1,8,-0.886463,0.0494
20221,T47D_BREAST,TAE684,9.46486273,8,-30.490427,0.3381
11394,T3M10_LUNG,17-AAG,0.04547368,0.04096874,-89.369545,4.9033
6397,T3M10_LUNG,Irinotecan,0.86962706,1.96381629,-56.016582,1.4788
12241,T3M10_LUNG,PD-0325901,0.07805657,0.68667942,-58.919006,2.1718
17401,T3M10_LUNG,Paclitaxel,0.07212979,0.06207898,-74.447136,4.1385
18364,T3M10_LUNG,Panobinostat,0.05071158,0.07372461,-88.229019,3.879
19220,T3M10_LUNG,RAF265,1.80899775,2.20389462,-77.572533,1.5229
8270,T3M10_LUNG,LBW242,1.83521462,2.31053448,-62.604069,1.1762
23276,T3M10_LUNG,Topotecan,2.25878882,3.04261136,-65.304024,0.8203
3,T3M10_LUNG,AZD0530,-1,8,-2.541287,0.0367
7298,T3M10_LUNG,L-685458,-1,8,19.582998,0
10204,T3M10_LUNG,Nilotinib,-1,8,4.849439,0.0999
16334,T3M10_LUNG,PLX4720,-1,8,-0.530737,0.1352
20220,T3M10_LUNG,Sorafenib,-1,8,10.588336,0
21206,T3M10_LUNG,TAE684,-1,8,2.870601,0.0714
11393,T24_URINARY_TRACT,17-AAG,0.15928133,0.1991504,-81.744232,3.6966
6395,T24_URINARY_TRACT,Irinotecan,0.06418232,0.06473182,-90.590607,4.5191
17399,T24_URINARY_TRACT,Paclitaxel,0.03639627,0.01821918,-94.646919,5.7734
18363,T24_URINARY_TRACT,Panobinostat,0.05202564,0.06620716,-97.213951,4.441
19221,T24_URINARY_TRACT,RAF265,0.14009915,0.18722978,-70.487534,2.9719
23273,T24_URINARY_TRACT,Topotecan,0.15418586,0.1730706,-93.214523,3.6724
4176,T24_URINARY_TRACT,AZD6244,0.02746007,8,-35.746609,1.535
8269,T24_URINARY_TRACT,LBW242,-1,8,-0.998517,0.6445
11395,T24_URINARY_TRACT,Nutlin-3,-1,8,-5.921426,0.8099
13238,T24_URINARY_TRACT,PD-0332991 ,-1,8,-0.178634,0.5323
15338,T24_URINARY_TRACT,PHA-665752,-1,8,-7.415384,0.4776
21205,T24_URINARY_TRACT,TAE684,8.55144663,4.32372475,-74.244942,1.8013
7297,T24_URINARY_TRACT,L-685458,8.81496227,8,-24.656525,0.424
9205,T24_URINARY_TRACT,Lapatinib,8.25604658,8,-25.236574,0.416
10203,T24_URINARY_TRACT,Nilotinib,8.33119495,8,-10.619347,0.1709
20219,T24_URINARY_TRACT,Sorafenib,7.13953209,8,-26.053333,0.5063
11391,CAPAN2_PANCREAS,17-AAG,0.04679938,0.04612577,-91.824181,3.905
10200,CAPAN2_PANCREAS,Nilotinib,-1,0.06294479,-126.633263,0.7497
12239,CAPAN2_PANCREAS,PD-0325901,2.17412615,0.07785797,-80.307159,3.115
14224,CAPAN2_PANCREAS,PF2341066,-1,0.21468255,-81.041382,1.1095
17400,CAPAN2_PANCREAS,Paclitaxel,-1,0.00254261,-56.488514,3.4066
18362,CAPAN2_PANCREAS,Panobinostat,0.03966222,0.06853135,-93.742348,3.4812
2509,CAPAN2_PANCREAS,AEW541,-1,0.43274645,-95.622658,1.657
21204,CAPAN2_PANCREAS,TAE684,8.1700264,0.67141891,-114.292236,2.4551
23274,CAPAN2_PANCREAS,Topotecan,1.23053813,1.2114557,-100.46627,1.2993
7296,CAPAN2_PANCREAS,L-685458,-1,8,23.605017,0
8268,CAPAN2_PANCREAS,LBW242,-1,8,6.530883,0.3136
13239,CAPAN2_PANCREAS,PD-0332991 ,-1,8,-0.97893,0.3713
15339,CAPAN2_PANCREAS,PHA-665752,-1,8,23.487968,0.1632
20218,CAPAN2_PANCREAS,Sorafenib,-1,8,5.617126,0
22174,CAPAN2_PANCREAS,TKI258,-1,8,-25.819639,0.2457
11388,SW900_LUNG,17-AAG,0.28546417,0.32066065,-72.315224,2.5565
11392,SW900_LUNG,PD-0325901,-1,4.37260009,-57.627563,1.1128
16331,SW900_LUNG,Paclitaxel,0.01070318,0.0188492,-84.763107,4.5352
17394,SW900_LUNG,Panobinostat,0.96115625,1.14069212,-90.655045,1.8786
22169,SW900_LUNG,Topotecan,1.92296112,2.78251886,-70.463623,1.0695
5249,SW900_LUNG,Erlotinib,-1,8,-8.991793,0.1385
6396,SW900_LUNG,L-685458,-1,8,10.192605,0.0344
14223,SW900_LUNG,PHA-665752,-1,8,3.780929,0.0927
15337,SW900_LUNG,PLX4720,-1,8,-1.642992,0.0196
23272,SW900_LUNG,ZD-6474,-1,8,-1.800219,0.2478
11389,SW780_URINARY_TRACT,17-AAG,0.04188681,0.05561214,-76.54248,2.995
6391,SW780_URINARY_TRACT,Irinotecan,0.48706925,0.46305826,-95.635803,2.3722
12238,SW780_URINARY_TRACT,PD-0325901,0.16030262,0.28827825,-71.827988,2.6984
17396,SW780_URINARY_TRACT,Paclitaxel,0.02869698,0.01078174,-92.642082,5.5322
18361,SW780_URINARY_TRACT,Panobinostat,0.09588718,0.11163597,-96.551636,3.3299
23270,SW780_URINARY_TRACT,Topotecan,8.15841514,1.09335613,-86.431038,1.975
7294,SW780_URINARY_TRACT,L-685458,-1,8,14.432507,0.0018
10202,SW780_URINARY_TRACT,Nilotinib,-1,8,-0.803987,0.2467
15336,SW780_URINARY_TRACT,PHA-665752,-1,8,-4.766457,0.3776
16333,SW780_URINARY_TRACT,PLX4720,-1,8,-6.945967,0.1303
20216,SW780_URINARY_TRACT,Sorafenib,-1,8,5.86653,0.1231
21203,SW780_URINARY_TRACT,TAE684,1.74302924,1.95142651,-78.831253,1.36
3149,SW780_URINARY_TRACT,AZD0530,3.23408628,8,-31.302902,0.23
13237,SW780_URINARY_TRACT,PD-0332991 ,0.8324343,1.64211702,-54.258266,0.2847
11387,SW620_LARGE_INTESTINE,17-AAG,0.03806436,0.03864982,-88.051811,4.962
4175,SW620_LARGE_INTESTINE,AZD6244,7.1564077,0.05813135,-73.600098,3.5274
6394,SW620_LARGE_INTESTINE,Irinotecan,0.07619795,0.09933457,-86.316383,3.6838
12237,SW620_LARGE_INTESTINE,PD-0325901,6.29567958,0.00991583,-77.58474,4.7172
17397,SW620_LARGE_INTESTINE,Paclitaxel,6.0490505,0.00258354,-88.860024,6.0438
18360,SW620_LARGE_INTESTINE,Panobinostat,0.03033931,0.03286568,-95.637169,4.822
21202,SW620_LARGE_INTESTINE,TAE684,0.81302798,0.98149347,-86.525078,1.9704
23271,SW620_LARGE_INTESTINE,Topotecan,0.0735596,0.11075456,-84.571274,3.5414
3148,SW620_LARGE_INTESTINE,AZD0530,-1,8,-7.190341,0.0931
5248,SW620_LARGE_INTESTINE,Erlotinib,-1,8,3.735089,0
7295,SW620_LARGE_INTESTINE,L-685458,-1,8,-3.01649,0
8267,SW620_LARGE_INTESTINE,LBW242,-1,8,-0.166984,0.0687
9204,SW620_LARGE_INTESTINE,Lapatinib,-1,8,6.182596,0
15335,SW620_LARGE_INTESTINE,PHA-665752,-1,8,3.484919,0
11386,SW579_THYROID,17-AAG,0.09520503,0.08014669,-91.552238,4.6507
6393,SW579_THYROID,Irinotecan,0.15930449,0.17214257,-92.415924,3.4352
17395,SW579_THYROID,Paclitaxel,0.01729376,0.01549878,-90.052635,5.6305
18359,SW579_THYROID,Panobinostat,0.05063281,0.05878419,-97.431076,4.3588
22172,SW579_THYROID,TKI258,3.17097426,1.64689159,-95.543739,2.145
23268,SW579_THYROID,Topotecan,0.28055874,0.28780922,-95.430588,3.4254
21201,SW579_THYROID,TAE684,8.98482752,5.12324619,-97.703239,1.35
4174,SW579_THYROID,AZD6244,-1,8,0.656041,0.3181
5247,SW579_THYROID,Erlotinib,-1,8,-1.038876,0.3561
7293,SW579_THYROID,L-685458,-1,8,2.867639,0
9203,SW579_THYROID,Lapatinib,8.06544243,8,-28.656612,0.219
13236,SW579_THYROID,PD-0332991 ,1.30324733,8,-24.003428,0.2898
15334,SW579_THYROID,PHA-665752,-1,8,2.391075,0.1384
11385,SW48_LARGE_INTESTINE,17-AAG,0.01568243,0.01493892,-95.075218,5.8824
4173,SW48_LARGE_INTESTINE,AZD6244,7.08039953,0.03625605,-77.279572,4.7855
6392,SW48_LARGE_INTESTINE,Irinotecan,0.0692534,0.08142867,-92.395401,4.33
12236,SW48_LARGE_INTESTINE,PD-0325901,0.01421028,0.00839659,-78.528137,5.322
17392,SW48_LARGE_INTESTINE,Paclitaxel,0.00259266,0.00359142,-92.575912,6.6415
18358,SW48_LARGE_INTESTINE,Panobinostat,0.02633743,0.03922041,-93.391624,4.6508
21200,SW48_LARGE_INTESTINE,TAE684,0.39121708,0.33778125,-97.762512,3.1949
22171,SW48_LARGE_INTESTINE,TKI258,8.76775539,3.00291014,-94.450798,1.5286
23269,SW48_LARGE_INTESTINE,Topotecan,0.06725459,0.09755316,-93.800865,4.0017
8266,SW48_LARGE_INTESTINE,LBW242,-1,8,2.246673,0.4682
10201,SW48_LARGE_INTESTINE,Nilotinib,-1,8,-0.750831,0.3872
